ILI,ILCESI,MAHALLESI,DAIRE_YASAL_M2,KAT_NO,BINA_YASI,KAT_ADEDI,İNŞAAT_SEVİYESİ,ASANSÖR,DAIRE_SALON,DAIRE_MUTFAK,DAIRE_ODA,DAIRE_BANYO,NIHAI_DEGERI,ADRES,DOLAR,TÜFE_KONUT,TÜFE_KİRA,TÜFE_KONUTBAKIM,TÜFE_KONUTLAİLGİLİ,TÜFE,ÜFE,KONUT_FAİZ,CAM,KİL,ÇİMENTO,METAL,KFE,KFB
İSTANBUL,PENDİK,KAYNARCA,103.0,2,8,9,100,1,1,1.0,3,1,6200000.0,İSTANBUL_PENDİK_KAYNARCA,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR,103.0,2,3,11,100,1,1,1.0,3,2,4400000.0,İSTANBUL_PENDİK_GÜLLÜ BAĞLAR,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ORHANGAZİ,85.0,3,16,5,100,0,1,1.0,3,1,2450000.0,İSTANBUL_PENDİK_ORHANGAZİ,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ORHANGAZİ,70.0,4,6,6,100,1,1,1.0,2,1,3000000.0,İSTANBUL_PENDİK_ORHANGAZİ,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,KURTKÖY,76.0,0,6,10,100,1,1,1.0,2,1,4200000.0,İSTANBUL_PENDİK_KURTKÖY,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,AHMET YESEVİ,100.0,3,5,6,100,0,1,1.0,3,1,3200000.0,İSTANBUL_PENDİK_AHMET YESEVİ,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,KURTKÖY,66.0,0,9,7,100,1,1,1.0,2,1,2350000.0,İSTANBUL_PENDİK_KURTKÖY,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,KURTKÖY,76.0,4,6,10,100,1,1,1.0,2,1,4350000.0,İSTANBUL_PENDİK_KURTKÖY,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,KURTKÖY,68.0,1,6,10,100,1,1,1.0,2,1,3900000.0,İSTANBUL_PENDİK_KURTKÖY,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,KURTKÖY,68.0,0,6,10,100,1,1,1.0,2,1,3750000.0,İSTANBUL_PENDİK_KURTKÖY,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
